arisa_frag,2000/8/17,2000/9/18,2000/10/9,2000/12/8,2001/1/16,2001/2/5,2001/3/19,2001/4/2,2001/5/9,2001/6/23,2001/6/29,2001/6/30,2001/7/27,2001/8/24,2001/9/28,2001/10/29,2001/11/19,2001/12/17,2002/1/14,2002/2/20,2002/3/15,2002/4/22,2002/5/20,2002/6/19,2002/7/11,2002/8/20,2002/9/11,2002/12/9,2003/1/15,2003/3/12,2003/5/5,2003/5/21,2003/6/17,2003/7/2,2003/8/14,2003/9/18,2003/10/22,2003/11/12,2003/12/16,2004/2/19,2004/3/17,2004/4/22,2004/5/19,2004/6/17,2004/7/14,2004/8/25,2004/9/22,2004/10/14,2004/11/17,2004/12/15,2005/3/16,2005/4/20,2005/5/4,2005/5/11,2005/6/14,2005/9/15,2005/10/20,2005/11/17,2006/1/18,2006/2/22,2006/3/29,2006/4/19,2006/6/20,2006/7/25,2006/8/24,2006/9/13,2006/10/15,2007/2/14,2007/4/4,2007/5/21,2007/6/15,2007/8/15,2007/9/20,2007/11/14,2007/12/17,2008/3/19,2008/4/22,2008/5/14,2008/6/18,2008/7/9,2008/8/20,2008/9/22,2008/10/20,2008/11/20,2008/12/11,2009/2/18,2009/4/23,2009/5/13,2009/6/18,2009/7/9,2009/7/10,2009/8/19,2009/9/24,2009/12/23,2010/1/28,2010/2/11,2010/3/24,2010/4/27,2010/5/17,2010/6/29,2010/7/21,
ARISA_735.5,0.006626278,0.00139705,0,0,0,0,0,0,0,0,0.000908045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00054203,0,0,0,0,0,0,0,0,0,0,0,0,0.001395056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004695249,0,0,0.004705231,0,0.000909036,0.000445016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002755102,0,0.006213286,0,0,0,0,0.014106522,0.010224409,0,0.001789077,0.007904316,0,0,0,0,0,0,0,0,0,0,0.000639759
ARISA_735.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002864106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83575E-05
ARISA_738.8,0.001108047,0.000999036,0.001424058,0,0.001487063,0,0.001019041,0.016727636,0.01333748,0.016810672,0.025324241,0,0.014509682,0.001641066,0.000544023,0,0.005723263,0.009324308,0.001388063,0,0.00200107,0,0.001906067,0.001595065,0,0,0,0,0,0,0,0.001358031,0,0,0,0,0,0,0.003283151,0.00340517,0,0,0.002492115,0.005002265,0.003109128,0,0.005512215,0,0,0,0,0,0,0,0,0.00109106,0,0,0.002332086,0.003033161,0,0,0.001483073,0.00191609,0,0.001449552,0.004989235,0,0.007184754,0,0.000532029,0.000902034,0,0,0,0,0,0,0,0,0,0.00390718,0,0,0,0,0.005766213,0.007668307,0,0,0.022815913,0.000605013,0.011181492,0,0,0,0,0,0,0,0.002850148,0.002185538
ARISA_741.8,0.001089046,0.002846103,0,0,0,0.035388451,0,0,0.001186043,0.001226049,0.047837344,0,0,0.001626065,0,0,0,0,0.000693031,0,0,0,0.001741061,0.003011124,0.000785029,0,0,0,0,0,0.019711513,0.003161073,0,0,0.01716136,0,0,0,0.00174708,0.005855293,0.001319051,0.040102604,0.000974045,0.010360549,0,0,0.001872073,0.00089404,0,0,0,0,0.002436068,0.007649804,0.003436134,0.002141118,0,0,0.081389011,0.002126113,0.005462273,0.003157216,0.010047492,0.000986046,0.001102044,0.000637523,0.029931407,0,0.015672732,0.000656024,0,0.00209408,0.005486247,0,0.000972045,0.017329676,0.004029157,0.000567024,0.001296058,0.001491055,0,0.014866684,0,0,0,0,0.007766287,0.003033121,0,0.004610198,0.017474699,0,0.020632908,0,0.003594155,0.002632116,0.001036036,0,0,0,0.003307172,0.004748889
ARISA_742.6,0,0,0,0,0,0,0,0,0,0.000731029,0.000737036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000751029,0,0,0,0,0,0,0,0,0.001192066,0,0,0.018844697,0.000717038,0,0.003165222,0.019318947,0,0,0,0.002082098,0,0,0,0,0,0.002508113,0,0,0,0,0,0,0.00052802,0,0,0,0,0,0,0.000664025,0.002134085,0,0,0.000935037,0,0.002334103,0,0,0.000610027,0,0,0,0,0,0.000566857
ARISA_744.7,0,0.000625023,0,0,0.001497063,0,0.00074003,0.000678026,0,0.005917237,0,0.000557026,0.000868041,0.004060162,0.006625278,0,0,0,0.000725033,0,0,0,0,0,0,0,0,0,0.001249069,0,0,0,0,0,0,0,0,0.000628027,0,0,0,0,0,0,0,0.000880032,0,0,0,0,0,0,0,0.001570987,0,0,0,0,0,0.001177062,0.002433122,0,0.012476611,0.001860087,0.000527021,0.000463517,0,0,0.002554401,0,0,0,0.000916041,0,0,0.006348248,0,0,0,0,0,0.00260712,0,0,0,0,0,0.000659026,0,0.000594026,0,0,0.001962086,0,0,0,0,0,0,0,0,0.000605935
ARISA_747.3,0,0,0,0,0.003164133,0.013111538,0.002778111,0.00105104,0,0.00124605,0.00082304,0,0.004866229,0.004894196,0.001801076,0,0,0.002154071,0.004728213,0,0.0028471,0,0,0,0,0.005977239,0,0,0.002814155,0,0,0,0.003060101,0.002931094,0,0,0.002545081,0.005560239,0,0.006310316,0.003573139,0.001176047,0.001830084,0.000640034,0,0.005808209,0.016764654,0,0.002252086,0.001294057,0,0,0,0,0,0,0,0,0,0.002131113,0,0,0.004796235,0.002966139,0,0.002593593,0,0,0.002567413,0,0.000642035,0,0,0,0,0,0,0,0.000809036,0.005238194,0.001403049,0,0.000721022,0.001163048,0,0,0,0,0.005635237,0,0,0,0,0,0.00070203,0,0,0,0,0,0,0.001360094
ARISA_749.6,0,0,0,0,0.00143906,0,0,0,0,0,0.001687083,0,0,0,0,0,0.001066049,0,0.001061048,0,0,0,0,0,0.001974073,0.001396056,0,0,0.000699038,0,0.000548014,0,0.003432113,0.008471271,0,0,0.002269073,0.003836165,0.019266886,0.008938447,0.000606024,0.003857154,0.001720079,0.00207711,0,0.000717026,0.00742829,0,0,0.00181608,0,0,0,0,0,0.001393077,0,0,0,0.005397286,0,0.008015627,0.000537026,0.001359064,0.009467379,0.014481021,0,0,0.000550518,0,0.004932271,0,0.001850083,0.002863123,0,0,0,0,0.001751079,0.006025223,0.003524123,0,0.002533076,0,0.00566217,0.002237081,0,0,0.005331224,0,0,0,0.000708031,0.004593193,0.004515194,0.002685118,0,0,0,0.000685016,0,0.001637655
ARISA_750.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000574029,0,0,0.001433066,0.001796095,0,0,0,0,0.001410054,0,0,0.001745306,0,0,0,0.000893049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000701027,0,0,0,0,0,0,0,0,0,0.001235045,0,0,0.000694029,0,0,0,0,0.000634027,0.00069203,0.001623071,0,0,0,0,0,0.000132978
ARISA_752.3,0.001210051,0,0,0.00073503,0,0,0,0,0,0,0,0,0,0.002265091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005287122,0,0,0,0,0,0,0,0,0,0,0.001225056,0.003564189,0.00122705,0,0.008069315,0.002466111,0,0,0,0.000814609,0,0,0,0,0,0,0,0,0,0.002815977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001432056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000308036
